video_id;instance_id;ref_exp;ref_exp_difficulty;ref_exp_information;appearance;obj-static;category;location;motion;obj-motion;static
ACG_c-NGIQQ;0;man in a hat walking with a woman;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
ACG_c-NGIQQ;1;Woman in white shirt walking in the forrest;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;0.0
AMRIatLZjz8;0;a car is rolling;Non-trivial;Minimum Information;0.0;0.0;1.0;0.0;1.0;0.0;0.0
AMRIatLZjz8;1;man in dark shirt and blue jeans standing on the top;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;10;the man from the left is watching;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;11;man in blue shirt standing on the rock;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;12;Guy in all blue standing on the rock;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;13;guy in brown hoodie standing on the hill;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;14;man in gray shirt standing on the top right;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;15;a man in black jacket is standing on the right;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;2;a man in dark shirt on the right side is watching the car;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;3;a guy with blue shirt is watching a car rolling outside;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;4;a man in white shirt and a white hat in the middle of behind;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;0.0
AMRIatLZjz8;5;a person in dark on the right is watching the car;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;6;Man in white coat standing on the back ;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;7;man in white vest and blue jeans standing on the top right;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;8;Person standing in white shirt standing in the right corner;Not a Referring Expression;Not Applicable;;;;;;;
AMRIatLZjz8;9;Guy in gray shirt and black cap standing on the rock;Not a Referring Expression;Not Applicable;;;;;;;
BSSH9ly3dBM;0;man walking on the beach with a woman;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
BSSH9ly3dBM;1;a woman walks with her lover on the beach;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
BrSxxfBVW3w;0;baby in green walking on the right;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
BrSxxfBVW3w;1;a baby in green is sitting in the middle of mattress;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
BrSxxfBVW3w;2;man in blue shirt standing behind the stage;Not a Referring Expression;Not Applicable;;;;;;;
BrSxxfBVW3w;3;Guy in the white shirt standing on the right;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
BvAzdbfFJeQ;0;Big duck is leading baby ducks;Non-trivial;Redundant Information;0.0;0.0;1.0;0.0;0.0;0.0;0.0
BvAzdbfFJeQ;1;Raven is walking on the road near the duck;Non-trivial;Minimum Information;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CcgopP4bOfE;1;a woman is sitting on the back with a light on her hand;Non-trivial;Redundant Information;0.0;1.0;1.0;1.0;0.0;0.0;1.0
CdY2cZV4-kA;0;a red car is jumping up a ramp;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
CdY2cZV4-kA;1;a car is moving toward camera and jumping;Incorrect Referring Expression;Not Applicable;;;;;;;
CdY2cZV4-kA;2;blue truck parking on the right;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
CwSUSVxoqbs;0;yellow bird flying;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
CwSUSVxoqbs;1;the blue bird is walking on the railing;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
CwSUSVxoqbs;2;green bird walking on the curtain rod;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
CwSUSVxoqbs;3;white parrot climbing on the curtains;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
CyQpFOr4SYM;1;a man in dark on the left is standing;Not a Referring Expression;Not Applicable;;;;;;;
CyQpFOr4SYM;2;the person in black in the background is watching a car;Not a Referring Expression;Not Applicable;;;;;;;
EhRuG0D-WsU;0;yellow cat at the bottom walking;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
EhRuG0D-WsU;1;the cat is sitting;Non-trivial;Minimum Information;0.0;0.0;0.0;0.0;0.0;0.0;1.0
Fiyr91l0wao;0;the car is flying through the air;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
Fiyr91l0wao;1;black car parking by the road;Not a Referring Expression;Not Applicable;;;;;;;
Fiyr91l0wao;2;the car is parked in the background;Not a Referring Expression;Not Applicable;;;;;;;
Fiyr91l0wao;3;a white car is flying on the air;Incorrect Referring Expression;Not Applicable;;;;;;;
FmaPgB5rXAg;0;a bird on the left is walking on the sand;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
FmaPgB5rXAg;1;the sandpiper is looking for food;Not a Referring Expression;Not Applicable;;;;;;;
HYGkFj8H2-w;0;white seagull is walking on the beach;Not a Referring Expression;Not Applicable;;;;;;;
HYGkFj8H2-w;1;the left duck is walking;Not a Referring Expression;Not Applicable;;;;;;;
IFLbZ0eJLgI;1;man walking next to the car;Incorrect Referring Expression;Not Applicable;;;;;;;
IFLbZ0eJLgI;2;the right man in black is standing behind the car;Not a Referring Expression;Not Applicable;;;;;;;
IppaQSxbp_Y;0;the man in the blue shirt is just standing there;Non-trivial;Minimum Information;1.0;0.0;1.0;0.0;0.0;0.0;1.0
IppaQSxbp_Y;1;a man with light blue shirt is walking away the camera;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
IppaQSxbp_Y;2;a man is standing on the right side;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;0.0;0.0;1.0
J10axcxQs8k;0;a yellow ball holded by a child is being thrown to the floor;Not a Referring Expression;Not Applicable;;;;;;;
J10axcxQs8k;1;boy in yellow top and green pants bouncing a yellow ball in the front;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;1.0;0.0
J10axcxQs8k;2;girl in white top bouncing a ball on the right;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;0.0
J10axcxQs8k;3;the second boy in the queue is standing;Not a Referring Expression;Not Applicable;;;;;;;
J10axcxQs8k;4;Guy in yellow shirt and green pants standing on the orange floor;Not a Referring Expression;Not Applicable;;;;;;;
J10axcxQs8k;5;Small yellow ball is rolling on yellow floor;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
JAyETp6IrfQ;0;cat with gray fur sitting on the chair;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
JAyETp6IrfQ;1;Cat is climbing the door;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
JHy6bBKu0j4;0;big duck walking on the stairs;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
JHy6bBKu0j4;1;the duckling is waddling along the step;Not a Referring Expression;Not Applicable;;;;;;;
JHy6bBKu0j4;2;a tiny duck is following its parent outside on stairs;Not a Referring Expression;Not Applicable;;;;;;;
JNziEdeT3hU;0;White car is standing on the left hill;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
JNziEdeT3hU;1;red car flying over the road;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
JNziEdeT3hU;2;a person with only visible head on the bottom is watching the performance;Not a Referring Expression;Not Applicable;;;;;;;
JNziEdeT3hU;3;man in white shirt standing in the front of the camera;Not a Referring Expression;Not Applicable;;;;;;;
JgUBrgYXEMU;0;car rolling over dirt;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
JgUBrgYXEMU;1;the white van is parked;Not a Referring Expression;Not Applicable;;;;;;;
JgUBrgYXEMU;2;a black car on the middle behind;Not a Referring Expression;Not Applicable;;;;;;;
JvlIOOVo050;0;Guy in yellow hoodie is holding a height measurer;Non-trivial;Redundant Information;1.0;1.0;1.0;0.0;0.0;0.0;1.0
KVB3c-_VkuA;0;man standing behind the car;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;0.0;0.0;1.0
KVB3c-_VkuA;1;a brown car is jumping up and down;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
KVB3c-_VkuA;2;Big guy holding height measurer from the right side;Non-trivial;Redundant Information;1.0;1.0;1.0;1.0;0.0;0.0;1.0
KVB3c-_VkuA;3;Big guy standing on the rigth;Not a Referring Expression;Not Applicable;;;;;;;
KZXZVFwFhn4;0;a black cat is sitting on the back;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
KZXZVFwFhn4;1;a gray white cat on the left is approaching its friends;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
KZXZVFwFhn4;2;cat walking to the left;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
L16abtpWTSI;0;baby in blue shirt standing near the bed;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
L16abtpWTSI;1;baby is climbing over the wooden fence;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
LaQHEtngJlE;0;a bird is running in the snow;Non-trivial;Minimum Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
LaQHEtngJlE;1;bird is sitting under the bush;Not a Referring Expression;Not Applicable;;;;;;;
LaQHEtngJlE;2;Yellow bird is standing on the grass;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
NdcsOJC392M;0;black cat walking on the bottom;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
NdcsOJC392M;1;a white cat is walking around;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
NdcsOJC392M;2;black cat walking in the room;Not a Referring Expression;Not Applicable;;;;;;;
O8alIA6GPYA;1;the dog on the right is crawling;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
O8alIA6GPYA;2;dog on the left crawling;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
OgkpGNMW6ps;0;the man is walking along the red carpet;Not a Referring Expression;Not Applicable;;;;;;;
OgkpGNMW6ps;1;man in black suit and blue tie walking on the red carpet;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
OgkpGNMW6ps;2;man in black suit and red tie is walking in front of the camera;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
OgkpGNMW6ps;3;man in black suits walking on the right most;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
Qg_eki6e3C0;0;Kitten is climbing the man;Non-trivial;Minimum Information;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Qg_eki6e3C0;1;cat climbing on a person;Incorrect Referring Expression;Not Applicable;;;;;;;
Ry8GWJMpIVQ;0;man in red running;Not a Referring Expression;Not Applicable;;;;;;;
Ry8GWJMpIVQ;1;the man in red is running in a race;Not a Referring Expression;Not Applicable;;;;;;;
Ry8GWJMpIVQ;2;the black person with black clothes is running;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
Ry8GWJMpIVQ;3;Guy in red shirt with number 2456 running on the athletic track;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
Ry8GWJMpIVQ;4;a man in black is running on the back;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
Ry8GWJMpIVQ;5;the person with white shirt is running;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
SG14EVakSOY;0;Soldier is crawling in the front of the camera;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
SG14EVakSOY;1;soldier on the left is crawling under barbed wires;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
SG14EVakSOY;2;Soldier on the right is crawling under barbed wire;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
UkzM0oR0Irg;0;cat is eating some food;Not a Referring Expression;Not Applicable;;;;;;;
UkzM0oR0Irg;1;a brown yellowish cat is eating food;Not a Referring Expression;Not Applicable;;;;;;;
UkzM0oR0Irg;2;the black cat is eating fish;Non-trivial;Redundant Information;1.0;1.0;1.0;0.0;0.0;0.0;1.0
UkzM0oR0Irg;3;second spotted cat from the right eating fishes;Non-trivial;Redundant Information;0.0;1.0;1.0;1.0;0.0;0.0;1.0
UkzM0oR0Irg;4;gray cat is eating fish bones;Not a Referring Expression;Not Applicable;;;;;;;
UkzM0oR0Irg;5;brown cat eating fishes;Not a Referring Expression;Not Applicable;;;;;;;
UkzM0oR0Irg;6;the middle gray cat is eating;Not a Referring Expression;Not Applicable;;;;;;;
UkzM0oR0Irg;7;Small orange cat is eating the food;Non-trivial;Redundant Information;1.0;1.0;1.0;0.0;0.0;0.0;1.0
V1ce8rpJ-HA;0;girl eating;Non-trivial;Minimum Information;0.0;0.0;0.0;0.0;0.0;0.0;0.0
V1ce8rpJ-HA;1;girl eating;Incorrect Referring Expression;Not Applicable;;;;;;;
XQ2WJo8sLEw;2;the person in gray is walking;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
XQ2WJo8sLEw;3;man in black pants walking next to a white dog;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
XWLh6BBJY2c;0;Boy with white hat playing basketball;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
XWLh6BBJY2c;1;man throwing ball ;Incorrect Referring Expression;Not Applicable;;;;;;;
XWLh6BBJY2c;2;Ball laying near the door;Non-trivial;Minimum Information;0.0;0.0;0.0;0.0;0.0;0.0;0.0
XWLh6BBJY2c;3;basketball flying into the basket;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
Xak5MjMRWFA;0;Small baby crawling on the right;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;0.0
Xak5MjMRWFA;1;baby crawling on the left;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
YIL8dT5HGr8;0;girl rolling on the mat;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
YIL8dT5HGr8;1;bird in black pants standing;Incorrect Referring Expression;Not Applicable;;;;;;;
Z3mrI3Qtib0;0;man in red vest jumping into the sand pit;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
Z3mrI3Qtib0;1;a man is standing on the right and watching the game;Not a Referring Expression;Not Applicable;;;;;;;
_fHAFq7CtHE;0;gray cat jumping;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
_fHAFq7CtHE;1;cat walking on the bottom right;Non-trivial;Minimum Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
_zDiMvRtHhc;0;Car is riding on the racing track;Not a Referring Expression;Not Applicable;;;;;;;
_zDiMvRtHhc;1;racing car running in distance;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
a8gUOdY672I;0;Green parrot is climbing a rope;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
a8gUOdY672I;1;Blue parrot is standing on top of the cage;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;0.0
aon3IF_qxno;1;the person on the right is squatting;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;0.0;0.0;1.0
b7D3QscIZso;0;the car is flipping over;Non-trivial;Minimum Information;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b7D3QscIZso;1;the right person in orange is watching a car;Not a Referring Expression;Not Applicable;;;;;;;
b7D3QscIZso;2;man in black standing on the grass;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
bjITPWl_PE8;0;a baby in yellow shirt is jumping up and down;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
bjITPWl_PE8;1;Small boy in white shirt and pants jumping in the middle of he group;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
bjITPWl_PE8;2;right most boy jumping up and down;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
bjITPWl_PE8;3;Girl in black shirt and pink pants is jumping with other kids;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
bjITPWl_PE8;4;woman in pink top bouncing a ball on the left;Non-trivial;Minimum Information;0.0;0.0;0.0;0.0;0.0;0.0;0.0
fvl8FzxYRLo;0;boy throwing a yellow ball;Non-trivial;Redundant Information;0.0;0.0;1.0;0.0;0.0;1.0;0.0
fvl8FzxYRLo;1;a woman is sitting on the right;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;0.0;0.0;1.0
fvl8FzxYRLo;2;a yellow and black ball is on the floor;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;0.0
fvl8FzxYRLo;3;yellow ball flying to the ground;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
glk2zL5hvNY;0;Boy in orange shirt standing behind the line ;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
glk2zL5hvNY;1;boy in green shirt running in the back;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
glk2zL5hvNY;3;Boy in blue shirt is dribbling a ball;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
glk2zL5hvNY;4;Boy with blonde hair in green shirt chasing boy with the ball;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
hKTUod7rQAQ;0;Girl in white shirt is dribbling ball on the left;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
hKTUod7rQAQ;1;ball bouncing up and down on left;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
hKTUod7rQAQ;2;Orange ball jumping in the middle of training room;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
hKTUod7rQAQ;3;Girl with pigtail  dribbling a  ball across;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
hKTUod7rQAQ;4;a boy on the right is walking and playing with a ball;Not a Referring Expression;Not Applicable;;;;;;;
hP4ji3MXpNQ;0;car flying over the sand dune;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
hP4ji3MXpNQ;1;the man is watching a jeep do a big jump;Not a Referring Expression;Not Applicable;;;;;;;
hP4ji3MXpNQ;2;a car is parked on the behind;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;0.0;0.0;1.0
hSkglfpoUJg;0;a cat is sitting on the right;Non-trivial;Minimum Information;0.0;0.0;1.0;1.0;0.0;0.0;1.0
hSkglfpoUJg;1;cat running in the wheel;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
hSkglfpoUJg;2;a cat on the left is watching its friends;Non-trivial;Redundant Information;0.0;1.0;1.0;1.0;0.0;0.0;1.0
hSkglfpoUJg;3;cat eating on the right;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;0.0;0.0;1.0
hoMzZCLaRqw;0;a car is moving on the third rank;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
hoMzZCLaRqw;1;green racing car running;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
hoMzZCLaRqw;2;yellow racing car running on the road;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
i82BXNyZpTk;0;man in black top walking on the right;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
i82BXNyZpTk;1;a girl in white jacket and pink bag is walking on the left;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
i82BXNyZpTk;2;girl with a red backpack walking on the mountain road;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
i_2U6TUGPjU;0;a girl on the right is eating a corn;Incorrect Referring Expression;Not Applicable;;;;;;;
i_2U6TUGPjU;1;man eating corn on the right;Non-trivial;Redundant Information;0.0;1.0;1.0;1.0;0.0;0.0;1.0
iuuckzeOHDo;0;a car is rolling on the ground;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;1.0;0.0;0.0
iuuckzeOHDo;1;Guy in yellow shirt and red pants walking in the back;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
j2h9arzRrpI;0;the skippy ball is moving back and forth;Not a Referring Expression;Not Applicable;;;;;;;
j2h9arzRrpI;1;boy in black jumping up and down;Non-trivial;Redundant Information;1.0;0.0;1.0;0.0;1.0;0.0;0.0
j2h9arzRrpI;2;boy in gray shirt jumping on the blue ball;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
j2h9arzRrpI;3;boy in orange top walking around;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
j2h9arzRrpI;4;Blue ball jumping in the training room;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
lnCNV8yA25E;0;a black man on the right is rolling over another man;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
lnCNV8yA25E;1;guy in black standing on the right;Incorrect Referring Expression;Not Applicable;;;;;;;
mrpG-WO7Nx0;0;white dog crawling on the floor;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
mrpG-WO7Nx0;1;dog lying on the floor;Non-trivial;Redundant Information;0.0;0.0;1.0;1.0;0.0;0.0;1.0
p8nf_Bm9N54;0;Red air ball is jumping in the room;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
p8nf_Bm9N54;1;Yellow ball is laying on the left;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
pS-lJk24e14;0;the large person in white is sprinting;Not a Referring Expression;Not Applicable;;;;;;;
pS-lJk24e14;1;man in red shirt and white pants walking on the track;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
qw4yA_TRr6Q;0;white dog rolling on the carpet;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;1.0;0.0;0.0
qw4yA_TRr6Q;1;white dog is standing on carpet corner;Non-trivial;Redundant Information;1.0;0.0;1.0;1.0;0.0;0.0;1.0
